映画館ID,映画館名,スクリーンID,スクリーン,対象座席列,特別座席名称,詳細・備考
C0001,グランドシネマサンシャイン池袋,C0001-12,シアター12 (IMAXレーザーGT),K列,グランドクラス,"＋3,000円 / 電動リクライニング・ボトルクーラー・USB付"
C0001,グランドシネマサンシャイン池袋,C0001-12,シアター12 (IMAXレーザーGT),L列,プレミアムクラス,"＋1,500円 / リクライニング・サイドテーブル付"
C0001,グランドシネマサンシャイン池袋,C0001-12,シアター12 (IMAXレーザーGT),A列,フラットシート,最前列 / 寝そべり型シート(通常料金)
C0001,グランドシネマサンシャイン池袋,C0001-05,シアター5 (BESTIA),K列,グランドクラス,"＋3,000円 / 電動リクライニング・ボトルクーラー・USB付"
C0001,グランドシネマサンシャイン池袋,C0001-05,シアター5 (BESTIA),L列,プレミアムクラス,"＋1,500円 / リクライニング・サイドテーブル付"
C0001,グランドシネマサンシャイン池袋,C0001-05,シアター5 (BESTIA),A列,フラットシート,最前列 / 寝そべり型シート(通常料金)
C0001,グランドシネマサンシャイン池袋,C0001-06,シアター6 (BESTIA),K列,グランドクラス,"＋3,000円 / 電動リクライニング・ボトルクーラー・USB付"
C0001,グランドシネマサンシャイン池袋,C0001-06,シアター6 (BESTIA),L列,プレミアムクラス,"＋1,500円 / リクライニング・サイドテーブル付"
C0001,グランドシネマサンシャイン池袋,C0001-06,シアター6 (BESTIA),A列,フラットシート,最前列 / 寝そべり型シート(通常料金)
C0002,TOHOシネマズ池袋,C0002-03,スクリーン3,J列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0002,TOHOシネマズ池袋,C0002-06,スクリーン6 (TCX),K列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0002,TOHOシネマズ池袋,C0002-07,スクリーン7,J列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0002,TOHOシネマズ池袋,C0002-10,スクリーン10 (ScreenX),L列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0003,新宿ピカデリー,C0003-01,スクリーン1 (プラチナ),M列,プラチナシート,"＋5,000円 / 2階バルコニー席・ラウンジ利用・ウェルカムドリンク"
C0003,新宿ピカデリー,C0003-01,スクリーン1 (プラチナ),N列,プラチナルーム,"＋30,000円(2名) / 完全個室・専用スピーカー・ラウンジ利用"
C0005,TOHOシネマズ新宿,C0005-09,スクリーン9 (TCX),K列,プレミアラグジュアリーシート,"＋3,000円 / 電動リクライニング・フットレスト(革製)"
C0005,TOHOシネマズ新宿,C0005-09,スクリーン9 (TCX),A列,フロントリクライニングシート,最前列 / リクライニング可(通常料金)
C0007,TOHOシネマズ日比谷,C0007-01,スクリーン1 (TCX),L列,プレミアラグジュアリーシート,"＋3,000円 / 電動リクライニング・フットレスト(革製)"
C0007,TOHOシネマズ日比谷,C0007-01,スクリーン1 (TCX),K列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0007,TOHOシネマズ日比谷,C0007-05,スクリーン5 (TCX),G列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
C0007,TOHOシネマズ日比谷,C0007-09,スクリーン9,I列,プレミアボックスシート,"＋1,000円 / セミプライベート空間・荷物置き場"
